Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
G1;9;0352;HAJDINA-JUROVCI;0;6.040;682;P;;;;9.000;25;7.744;154;481;96;64;436;315
G1;9;0362;JUROVCI;0;1.000;682;P;;;;9.500;26;8.175;162;508;101;68;460;317
G1;9;0351;JUROVCI-PODLEHNIK;0;4.200;682;O;QLD6;x;JUROVCI;8.614;20;7.322;130;460;92;66;524;319
G1;9;0351;PODLEHNIK - MP GRUSKOVJE;4.200;10.920;518;O;QLD3;97x1;MP GRUSKOVJE;6.811;46;5.996;51;146;53;75;444;319
G1;10;0292;TROJANE-KOMPOLJE;0;14.780;72;O;QLD6;97x12;TROJANE 2;19.779;50;14.862;222;1.369;596;738;1.942;322
G1;10;1499;KLANEC-KASTELEC;0;5.190;614;O;QLD6;98x4;PETRINJE;15.942;104;13.402;136;1.010;278;262;750;330
G1;10;0312;KASTELEC-RIZANA;0;6.230;614;P;;;;16.000;112;13.474;120;1.030;323;201;740;332
G1;10;0313;RIZANA-KRIZ.DEKANI;0;5.900;79;O;QLD6;02x4;DEKANI;18.179;163;15.423;127;867;480;451;668;334
G1;11;0235;MP SKOFIJE-SKOFIJE;0;1.000;651;O;QLD3;x;MP SKOFIJE;10.075;126;9.580;34;73;57;42;163;336
G1;11;0235;SKOFIJE-KRIZ. DEKANI;1.000;3.545;686;O;QLD6;x;SP SKOFIJE;18.246;74;15.037;138;1.001;451;742;803;336
G1;11;1062;KOPER-SMARJE;0;6.000;149;O;QLD6;x;KOPER;12.671;98;11.760;50;529;118;40;76;337
G1;11;1062;SMARJE-DRAGONJA;6.000;13.650;150;O;;01x4;SMARJE;8.500;160;7.792;23;384;46;43;52;337
G1;11;1062;DRAGONJA-MP DRAGONJA;13.650;14.530;14;O;QLD3;x;MP DRAGONJA;5.902;38;5.740;9;39;21;11;44;337
